date,grams,price
2022-05-23,10,48020.17
2022-05-24,10,48014.94
2022-05-25,10,48041.15
2022-05-26,10,48102.37
2022-05-27,10,48093.3
2022-05-28,10,48084.24
2022-05-29,10,48147.7
2022-05-30,10,48178.7
2022-05-31,10,48160.22
2022-06-01,10,48182.22
2022-06-02,10,48163.99
2022-06-03,10,48145.66
2022-06-04,10,48155.64
2022-06-05,10,48079.41
2022-06-06,10,48010.71
2022-06-07,10,47988.52
2022-06-08,10,47948.3
2022-06-09,10,47961.17
2022-06-10,10,47925.15
2022-06-11,10,47868.96
2022-06-12,10,47927.89
2022-06-13,10,47919.16
2022-06-14,10,47922.16
2022-06-15,10,47865.47
2022-06-16,10,47843.99
2022-06-17,10,47848.73
2022-06-18,10,47802.99
2022-06-19,10,47818.32
2022-06-20,10,47794.59
2022-06-21,10,47783.22
2022-06-22,10,47759.46
2022-06-23,10,47833.85
2022-06-24,10,47833.61
2022-06-25,10,47791.6
2022-06-26,10,47824.8
2022-06-27,10,47776.27
2022-06-28,10,47784.92
2022-06-29,10,47706.83
2022-06-30,10,47654.01
2022-07-01,10,47662.18
2022-07-02,10,47692.02
2022-07-03,10,47699.17
2022-07-04,10,47694.85
2022-07-05,10,47683.1
2022-07-06,10,47624.26
2022-07-07,10,47595.77
2022-07-08,10,47577.64
2022-07-09,10,47620.23
2022-07-10,10,47634.27
2022-07-11,10,47564.05
2022-07-12,10,47577.32
2022-07-13,10,47562.21
2022-07-14,10,47535.44
2022-07-15,10,47560.2
2022-07-16,10,47601.74
2022-07-17,10,47639.29
2022-07-18,10,47606.02
2022-07-19,10,47593.96
2022-07-20,10,47607.51
2022-07-21,10,47646.83
2022-07-22,10,47627.96
2022-07-23,10,47620.84
2022-07-24,10,47576.88
2022-07-25,10,47529.33
2022-07-26,10,47562.13
2022-07-27,10,47616.68
2022-07-28,10,47614.1
2022-07-29,10,47654.55
2022-07-30,10,47669.31
2022-07-31,10,47643.81
2022-08-01,10,47658.56
2022-08-02,10,47720.38
2022-08-03,10,47719.25
2022-08-04,10,47782.14
2022-08-05,10,47677.65
2022-08-06,10,47710.82
2022-08-07,10,47714.6
2022-08-08,10,47702.94
2022-08-09,10,47706.91
2022-08-10,10,47627.71
2022-08-11,10,47619.22
2022-08-12,10,47633.81
2022-08-13,10,47693.22
2022-08-14,10,47672.79
2022-08-15,10,47640.75
2022-08-16,10,47620.98
2022-08-17,10,47657.9
2022-08-18,10,47671.35
2022-08-19,10,47650.46
2022-08-20,10,47671.29
2022-08-21,10,47675.47
2022-08-22,10,47714.52
2022-08-23,10,47686.74
2022-08-24,10,47673.93
2022-08-25,10,47658.55
2022-08-26,10,47600.31
2022-08-27,10,47612.45
2022-08-28,10,47623.19
2022-08-29,10,47623.7
2022-08-30,10,47614.61
2022-08-31,10,47558.3
2022-09-01,10,47541.77
2022-09-02,10,47528.36
2022-09-03,10,47496.57
2022-09-04,10,47490.42
2022-09-05,10,47506.88
2022-09-06,10,47582.63
2022-09-07,10,47589.91
2022-09-08,10,47600.52
2022-09-09,10,47597.84
2022-09-10,10,47521.39
2022-09-11,10,47520.63
2022-09-12,10,47523.34
2022-09-13,10,47622.17
2022-09-14,10,47614.77
2022-09-15,10,47627.13
2022-09-16,10,47626.05
2022-09-17,10,47579.6
2022-09-18,10,47625.61
2022-09-19,10,47655.99
2022-09-20,10,47687.93
2022-09-21,10,47651.85
